tradedate;tradetime;period_1.0
18.05.2015;18:37:07;10,28
19.05.2015;18:39:14;10,45
20.05.2015;18:34:44;10,64
21.05.2015;18:28:05;10,44
22.05.2015;18:39:32;10,42
25.05.2015;18:37:54;10,39
26.05.2015;18:39:50;10,56
27.05.2015;18:33:30;10,53
28.05.2015;18:39:03;10,61
29.05.2015;18:37:11;10,54
01.06.2015;18:38:45;10,61
02.06.2015;18:33:19;10,59
03.06.2015;18:39:27;10,62
04.06.2015;18:37:36;10,76
05.06.2015;18:31:03;10,67
08.06.2015;18:38:32;10,7
09.06.2015;18:38:21;10,55
10.06.2015;18:35:41;10,41
11.06.2015;18:36:34;10,42
15.06.2015;18:39:24;10,55
16.06.2015;18:39:13;10,7
17.06.2015;18:34:51;10,7
18.06.2015;18:39:21;10,42
19.06.2015;18:33:26;10,54
22.06.2015;18:34:29;10,55
23.06.2015;18:39:46;10,49
24.06.2015;18:33:32;10,5
25.06.2015;18:37:29;10,44
26.06.2015;18:39:01;10,52
29.06.2015;18:38:07;10,6
30.06.2015;18:38:57;10,43
01.07.2015;18:37:29;10,53
02.07.2015;18:38:20;10,47
03.07.2015;18:39:17;10,43
06.07.2015;18:39:32;10,48
07.07.2015;18:39:18;10,52
08.07.2015;18:39:51;10,51
09.07.2015;18:39:36;10,33
10.07.2015;18:39:07;10,25
13.07.2015;18:39:46;10,23
14.07.2015;18:39:07;10,17
15.07.2015;18:39:24;10,12
16.07.2015;18:33:29;9,92
17.07.2015;18:39:18;10,01
20.07.2015;18:37:17;10,04
21.07.2015;18:38:55;9,93
22.07.2015;18:38:27;9,96
23.07.2015;18:39:47;10,01
24.07.2015;18:39:28;10,09
27.07.2015;18:38:11;10,22
28.07.2015;18:39:28;10,27
29.07.2015;18:39:20;9,95
30.07.2015;18:39:47;10,01
31.07.2015;18:38:53;10,13
03.08.2015;18:39:56;10,25
04.08.2015;18:39:28;10,16
05.08.2015;18:37:56;10,18
06.08.2015;18:39:37;10,21
07.08.2015;18:39:40;10,25
10.08.2015;18:39:13;10,2
11.08.2015;18:38:02;10,21
12.08.2015;18:37:32;10,19
13.08.2015;18:39:46;10,22
14.08.2015;18:38:43;10,29
17.08.2015;18:39:25;10,51
18.08.2015;18:38:44;10,46
19.08.2015;18:39:50;10,58
20.08.2015;18:39:28;10,82
21.08.2015;18:39:26;11,09
24.08.2015;18:34:47;11,22
25.08.2015;18:34:53;11,04
26.08.2015;18:38:10;10,9
27.08.2015;18:39:51;10,94
28.08.2015;18:38:06;11,04
31.08.2015;18:39:54;11,1
01.09.2015;18:39:39;10,97
02.09.2015;18:39:26;11,04
03.09.2015;18:39:04;11,01
04.09.2015;18:39:46;10,96
07.09.2015;18:39:49;11,06
08.09.2015;18:39:22;11,08
09.09.2015;18:39:35;10,98
10.09.2015;18:38:40;11
11.09.2015;18:39:52;11,05
14.09.2015;18:37:00;10,99
15.09.2015;18:36:43;10,93
16.09.2015;18:24:15;10,9
17.09.2015;18:30:08;10,84
18.09.2015;18:37:29;11,01
21.09.2015;18:39:52;10,94
22.09.2015;18:38:52;10,93
23.09.2015;18:39:15;10,95
24.09.2015;18:14:56;10,95
25.09.2015;18:24:03;10,98
28.09.2015;18:31:51;11,02
29.09.2015;18:32:09;11,02
30.09.2015;18:37:15;10,9
01.10.2015;18:33:30;10,72
02.10.2015;18:33:33;10,9
05.10.2015;18:38:50;10,57
06.10.2015;18:37:51;10,61
07.10.2015;17:45:46;10,45
08.10.2015;18:38:30;10,54
09.10.2015;18:38:48;10,32
12.10.2015;18:34:13;10,35
13.10.2015;18:17:27;10,48
14.10.2015;18:38:31;10,5
15.10.2015;18:39:51;10,39
16.10.2015;18:20:20;10,1
19.10.2015;18:33:26;10,2
20.10.2015;18:33:18;10,28
21.10.2015;18:39:51;10,19
22.10.2015;18:37:51;10,25
23.10.2015;18:39:06;10,2
26.10.2015;18:33:12;10,28
27.10.2015;18:37:03;10,4
28.10.2015;18:39:33;10,28
29.10.2015;18:39:17;10,24
30.10.2015;18:35:37;10,35
02.11.2015;18:28:56;10,32
03.11.2015;18:24:29;10,12
05.11.2015;18:36:16;10,24
06.11.2015;18:39:00;10,24
09.11.2015;18:39:08;10,23
10.11.2015;18:38:30;10,21
11.11.2015;18:38:29;10,22
12.11.2015;18:04:21;10,38
13.11.2015;18:33:13;10,39
16.11.2015;18:39:09;10,44
17.11.2015;18:39:58;10,31
18.11.2015;18:38:49;10,31
19.11.2015;18:39:31;10,17
20.11.2015;18:38:16;10,26
23.11.2015;18:35:10;10,17
24.11.2015;18:29:20;10,45
25.11.2015;18:17:15;10,51
26.11.2015;18:39:30;10,26
27.11.2015;18:39:14;10,51
30.11.2015;18:39:16;10,26
01.12.2015;18:39:58;10,4
02.12.2015;18:39:09;10,31
03.12.2015;18:39:03;10,3
04.12.2015;18:33:06;10,3
07.12.2015;18:39:55;10,4
08.12.2015;18:33:23;10,46
09.12.2015;18:39:10;10,48
10.12.2015;18:35:22;10,5
11.12.2015;18:39:01;10,65
14.12.2015;18:31:13;10,74
15.12.2015;18:39:58;10,82
16.12.2015;18:38:57;10,57
17.12.2015;18:39:03;10,71
18.12.2015;18:38:11;10,7
21.12.2015;18:37:48;10,71
22.12.2015;18:39:18;10,76
23.12.2015;18:39:21;10,66
24.12.2015;18:35:54;10,6
25.12.2015;18:38:56;10,5
28.12.2015;18:39:54;10,4
29.12.2015;18:39:50;10,3
30.12.2015;18:39:50;10,17
