tradedate;tradetime;period_1.0
05.01.2015;15:52:47;14,51
06.01.2015;18:39:19;14,05
08.01.2015;18:38:33;14,41
09.01.2015;18:38:26;14,55
12.01.2015;18:34:05;16,27
13.01.2015;18:39:47;16,86
14.01.2015;18:39:32;16,12
15.01.2015;18:35:20;14,89
16.01.2015;18:32:07;14,69
19.01.2015;18:37:11;14,64
20.01.2015;18:38:14;15,13
21.01.2015;18:39:44;15,14
22.01.2015;18:39:15;14,8
23.01.2015;18:38:29;14,77
26.01.2015;18:38:31;15,42
27.01.2015;18:39:56;15,38
28.01.2015;18:39:05;15,39
29.01.2015;18:17:50;15,29
30.01.2015;18:39:28;14,56
02.02.2015;18:39:58;14,08
03.02.2015;18:39:08;13,75
04.02.2015;18:39:54;13,78
05.02.2015;18:37:32;13,55
06.02.2015;18:39:04;13,16
09.02.2015;18:39:02;12,99
10.02.2015;18:38:39;12,97
11.02.2015;18:39:04;12,97
12.02.2015;18:39:32;12,87
13.02.2015;18:39:09;12,79
16.02.2015;18:39:43;12,46
17.02.2015;18:39:45;12,31
18.02.2015;18:39:19;12,06
19.02.2015;18:39:50;12,5
20.02.2015;18:39:38;12,51
24.02.2015;18:38:05;13,45
25.02.2015;18:39:00;13,64
26.02.2015;18:39:33;13,63
27.02.2015;18:39:59;13,68
02.03.2015;18:36:17;13,91
03.03.2015;18:32:29;13,32
04.03.2015;18:39:19;13,28
05.03.2015;18:39:51;13,1
06.03.2015;18:39:34;12,81
10.03.2015;18:39:52;13,12
11.03.2015;18:39:53;13,05
12.03.2015;18:37:13;12,79
13.03.2015;18:38:57;12,95
16.03.2015;18:39:23;12,98
17.03.2015;18:37:39;13,18
18.03.2015;18:39:53;13,12
19.03.2015;18:36:46;12,89
20.03.2015;18:38:49;12,73
23.03.2015;18:00:06;12,71
24.03.2015;18:27:50;12,58
25.03.2015;18:37:14;11,98
26.03.2015;18:27:37;11,82
27.03.2015;18:38:01;11,83
30.03.2015;17:45:31;12,25
31.03.2015;18:38:36;12,3
01.04.2015;18:39:41;12,16
02.04.2015;18:39:06;12,14
03.04.2015;18:36:37;12,11
06.04.2015;18:38:32;12,15
07.04.2015;18:39:15;12,17
08.04.2015;18:34:01;12,11
09.04.2015;18:39:58;11,77
10.04.2015;18:38:52;11,49
13.04.2015;18:39:43;11,6
14.04.2015;18:39:26;11,51
15.04.2015;18:39:21;11,38
16.04.2015;18:38:05;11,33
17.04.2015;18:39:07;11,71
20.04.2015;18:39:11;11,84
21.04.2015;18:38:57;11,66
22.04.2015;18:38:10;11,53
23.04.2015;18:39:41;11,41
24.04.2015;18:38:56;11,39
27.04.2015;18:39:26;11,51
28.04.2015;18:33:15;11,16
29.04.2015;18:39:24;11,13
30.04.2015;18:38:35;10,54
05.05.2015;18:39:40;10,42
06.05.2015;18:38:43;10,4
07.05.2015;18:39:42;10,34
08.05.2015;18:33:09;10,17
12.05.2015;18:28:06;10,33
13.05.2015;18:33:12;10,23
14.05.2015;18:36:26;10,45
15.05.2015;18:38:40;10,49
